"Step","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX"
"0","8.57","8.57","8.57","7.34","7.34","7.34","9.14","9.14","9.14","10.8","10.8","10.8","13.45","13.45","13.45","8.22","8.22","8.22","12.89","12.89","12.89","11.53","11.53","11.53","13.62","13.62","13.62"
"1","13.04","13.04","13.04","14.66","14.66","14.66","14.85","14.85","14.85","14.82","14.82","14.82","21.04","21.04","21.04","14.26","14.26","14.26","20.04","20.04","20.04","13.89","13.89","13.89","19.92","19.92","19.92"
"2","18.31","18.31","18.31","18.2","18.2","18.2","18.52","18.52","18.52","19.08","19.08","19.08","25.26","25.26","25.26","18.55","18.55","18.55","25.42","25.42","25.42","20.02","20.02","20.02","24.88","24.88","24.88"
"3","21.15","21.15","21.15","21.58","21.58","21.58","23.53","23.53","23.53","21.05","21.05","21.05","29.34","29.34","29.34","21.4","21.4","21.4","26.65","26.65","26.65","23.54","23.54","23.54","30.56","30.56","30.56"
"4","25.38","25.38","25.38","24.11","24.11","24.11","23.76","23.76","23.76","28.1","28.1","28.1","32.65","32.65","32.65","24.78","24.78","24.78","33.49","33.49","33.49","28.41","28.41","28.41","33.85","33.85","33.85"
"5","26.72","26.72","26.72","27.45","27.45","27.45","28.29","28.29","28.29","28.18","28.18","28.18","35.05","35.05","35.05","27.2","27.2","27.2","30.71","30.71","30.71","29.18","29.18","29.18","35.85","35.85","35.85"
"6","28.52","28.52","28.52","29.64","29.64","29.64","31.75","31.75","31.75","31.53","31.53","31.53","38.32","38.32","38.32","28.8","28.8","28.8","39.37","39.37","39.37","27.92","27.92","27.92","36.88","36.88","36.88"
"7","31.65","31.65","31.65","31.38","31.38","31.38","29.89","29.89","29.89","30.11","30.11","30.11","40.53","40.53","40.53","31.18","31.18","31.18","40.12","40.12","40.12","31.64","31.64","31.64","39.16","39.16","39.16"
"8","33.02","33.02","33.02","34","34","34","32.43","32.43","32.43","31.36","31.36","31.36","42.98","42.98","42.98","32.55","32.55","32.55","40.58","40.58","40.58","29.46","29.46","29.46","43.59","43.59","43.59"
"9","34.21","34.21","34.21","36.34","36.34","36.34","31.13","31.13","31.13","35.57","35.57","35.57","45.25","45.25","45.25","33.76","33.76","33.76","44.91","44.91","44.91","34.64","34.64","34.64","44.2","44.2","44.2"
"10","37.33","37.33","37.33","36.79","36.79","36.79","30.53","30.53","30.53","31.46","31.46","31.46","45.44","45.44","45.44","36.23","36.23","36.23","45.59","45.59","45.59","33.22","33.22","33.22","46.02","46.02","46.02"
"11","38","38","38","39.04","39.04","39.04","33.68","33.68","33.68","36.19","36.19","36.19","47.43","47.43","47.43","37.74","37.74","37.74","47.41","47.41","47.41","37.37","37.37","37.37","47.33","47.33","47.33"
"12","39.68","39.68","39.68","40.18","40.18","40.18","37.39","37.39","37.39","33.03","33.03","33.03","48.84","48.84","48.84","37.58","37.58","37.58","49.64","49.64","49.64","36.06","36.06","36.06","48.75","48.75","48.75"
"13","40.76","40.76","40.76","40.73","40.73","40.73","33.36","33.36","33.36","37.25","37.25","37.25","50.56","50.56","50.56","39.91","39.91","39.91","49.92","49.92","49.92","37.84","37.84","37.84","49.38","49.38","49.38"
"14","42.21","42.21","42.21","41.17","41.17","41.17","33.77","33.77","33.77","35.05","35.05","35.05","51.37","51.37","51.37","40.84","40.84","40.84","48.6","48.6","48.6","36.66","36.66","36.66","50.58","50.58","50.58"
"15","42.81","42.81","42.81","42.79","42.79","42.79","31.88","31.88","31.88","38.8","38.8","38.8","52.45","52.45","52.45","42.13","42.13","42.13","51.69","51.69","51.69","39.09","39.09","39.09","51.34","51.34","51.34"
"16","43.82","43.82","43.82","43.84","43.84","43.84","39.23","39.23","39.23","38.56","38.56","38.56","51.46","51.46","51.46","43.45","43.45","43.45","52.56","52.56","52.56","37.02","37.02","37.02","50.58","50.58","50.58"
"17","44.68","44.68","44.68","45.26","45.26","45.26","36.66","36.66","36.66","38.48","38.48","38.48","51.1","51.1","51.1","44.56","44.56","44.56","52.71","52.71","52.71","37.04","37.04","37.04","51.67","51.67","51.67"
"18","45.13","45.13","45.13","45.79","45.79","45.79","34.15","34.15","34.15","36.76","36.76","36.76","53.19","53.19","53.19","45.12","45.12","45.12","51.3","51.3","51.3","38.62","38.62","38.62","50.54","50.54","50.54"
"19","44.98","44.98","44.98","46.45","46.45","46.45","40.46","40.46","40.46","36.79","36.79","36.79","54.3","54.3","54.3","46.26","46.26","46.26","52.86","52.86","52.86","39.28","39.28","39.28","53.59","53.59","53.59"
"20","46.4","46.4","46.4","47.52","47.52","47.52","38.25","38.25","38.25","39.77","39.77","39.77","53.76","53.76","53.76","46.94","46.94","46.94","53.8","53.8","53.8","39.93","39.93","39.93","54.76","54.76","54.76"
"21","46.39","46.39","46.39","48.58","48.58","48.58","38.51","38.51","38.51","38.58","38.58","38.58","55.29","55.29","55.29","47.41","47.41","47.41","55.91","55.91","55.91","42.99","42.99","42.99","53.88","53.88","53.88"
"22","48.3","48.3","48.3","48.81","48.81","48.81","39.52","39.52","39.52","37.07","37.07","37.07","55.14","55.14","55.14","47.57","47.57","47.57","55.34","55.34","55.34","34.56","34.56","34.56","54.66","54.66","54.66"
"23","47.82","47.82","47.82","48.36","48.36","48.36","37.02","37.02","37.02","40.75","40.75","40.75","55.99","55.99","55.99","48.92","48.92","48.92","54.68","54.68","54.68","38.91","38.91","38.91","55.25","55.25","55.25"
"24","48.89","48.89","48.89","49.91","49.91","49.91","41.14","41.14","41.14","41.29","41.29","41.29","55.74","55.74","55.74","49.58","49.58","49.58","56.8","56.8","56.8","39.57","39.57","39.57","55.19","55.19","55.19"
"25","49.45","49.45","49.45","50.36","50.36","50.36","39.85","39.85","39.85","40.53","40.53","40.53","56.2","56.2","56.2","49.87","49.87","49.87","56.44","56.44","56.44","38.19","38.19","38.19","56.14","56.14","56.14"
"26","49.87","49.87","49.87","50.73","50.73","50.73","42.1","42.1","42.1","36.8","36.8","36.8","57.54","57.54","57.54","49.92","49.92","49.92","57.14","57.14","57.14","38.59","38.59","38.59","56.59","56.59","56.59"
"27","48.77","48.77","48.77","51.36","51.36","51.36","36.47","36.47","36.47","40.55","40.55","40.55","57.12","57.12","57.12","50.13","50.13","50.13","57.55","57.55","57.55","38.63","38.63","38.63","55.28","55.28","55.28"
"28","50.25","50.25","50.25","51.83","51.83","51.83","40.34","40.34","40.34","41.04","41.04","41.04","58.13","58.13","58.13","50.85","50.85","50.85","58.41","58.41","58.41","39.94","39.94","39.94","57.27","57.27","57.27"
"29","50.11","50.11","50.11","52.14","52.14","52.14","34.55","34.55","34.55","41.36","41.36","41.36","58.94","58.94","58.94","51.98","51.98","51.98","57.48","57.48","57.48","38","38","38","57.64","57.64","57.64"
"30","51.5","51.5","51.5","52.67","52.67","52.67","41.78","41.78","41.78","36.59","36.59","36.59","57.9","57.9","57.9","51.47","51.47","51.47","57.07","57.07","57.07","40.75","40.75","40.75","57.96","57.96","57.96"
"31","50.93","50.93","50.93","53.11","53.11","53.11","39.35","39.35","39.35","39.92","39.92","39.92","56.12","56.12","56.12","52.16","52.16","52.16","58.22","58.22","58.22","41.12","41.12","41.12","58.7","58.7","58.7"
"32","51.83","51.83","51.83","53.35","53.35","53.35","40.96","40.96","40.96","40.8","40.8","40.8","57.89","57.89","57.89","52.69","52.69","52.69","56.08","56.08","56.08","35.51","35.51","35.51","58.29","58.29","58.29"
"33","51.85","51.85","51.85","53.26","53.26","53.26","42.27","42.27","42.27","40.09","40.09","40.09","57.96","57.96","57.96","52.56","52.56","52.56","57.24","57.24","57.24","41.53","41.53","41.53","57.65","57.65","57.65"
"34","52.07","52.07","52.07","53.32","53.32","53.32","42.32","42.32","42.32","42.15","42.15","42.15","59.55","59.55","59.55","53.83","53.83","53.83","57.03","57.03","57.03","42.16","42.16","42.16","58.96","58.96","58.96"
"35","52.66","52.66","52.66","53.06","53.06","53.06","40.99","40.99","40.99","41.77","41.77","41.77","58.87","58.87","58.87","52.9","52.9","52.9","57.63","57.63","57.63","40.16","40.16","40.16","59.04","59.04","59.04"
"36","52.82","52.82","52.82","54.23","54.23","54.23","42.66","42.66","42.66","40.96","40.96","40.96","58.86","58.86","58.86","54.1","54.1","54.1","59.76","59.76","59.76","41.25","41.25","41.25","58.65","58.65","58.65"
"37","53.8","53.8","53.8","53.81","53.81","53.81","42.59","42.59","42.59","41.1","41.1","41.1","59.86","59.86","59.86","53.66","53.66","53.66","59.5","59.5","59.5","37.04","37.04","37.04","59.64","59.64","59.64"
"38","53.31","53.31","53.31","54.2","54.2","54.2","42.44","42.44","42.44","39.55","39.55","39.55","59.83","59.83","59.83","54.27","54.27","54.27","58.04","58.04","58.04","40.23","40.23","40.23","59.22","59.22","59.22"
"39","54.59","54.59","54.59","55.25","55.25","55.25","37.14","37.14","37.14","40.45","40.45","40.45","60.67","60.67","60.67","54.18","54.18","54.18","59.32","59.32","59.32","39.36","39.36","39.36","59.63","59.63","59.63"
"40","54.62","54.62","54.62","55.22","55.22","55.22","36.61","36.61","36.61","38.29","38.29","38.29","60.53","60.53","60.53","54.38","54.38","54.38","60.13","60.13","60.13","42.85","42.85","42.85","60.46","60.46","60.46"
"41","53.84","53.84","53.84","54.84","54.84","54.84","38.64","38.64","38.64","43.62","43.62","43.62","60.2","60.2","60.2","54.81","54.81","54.81","59.35","59.35","59.35","42.76","42.76","42.76","58.1","58.1","58.1"
"42","54.91","54.91","54.91","55.79","55.79","55.79","43.54","43.54","43.54","39.79","39.79","39.79","60.28","60.28","60.28","54.46","54.46","54.46","59.1","59.1","59.1","43.31","43.31","43.31","59.78","59.78","59.78"
"43","54.24","54.24","54.24","55.53","55.53","55.53","40.05","40.05","40.05","41.58","41.58","41.58","60.13","60.13","60.13","55.6","55.6","55.6","58.98","58.98","58.98","38.4","38.4","38.4","59.98","59.98","59.98"
"44","55.14","55.14","55.14","55.69","55.69","55.69","41.42","41.42","41.42","42.78","42.78","42.78","60.87","60.87","60.87","55.05","55.05","55.05","59","59","59","41.06","41.06","41.06","60.58","60.58","60.58"
"45","54.88","54.88","54.88","55.71","55.71","55.71","42.47","42.47","42.47","36.84","36.84","36.84","59.51","59.51","59.51","55.56","55.56","55.56","58.94","58.94","58.94","42.7","42.7","42.7","59.7","59.7","59.7"
"46","55.63","55.63","55.63","56.82","56.82","56.82","38.4","38.4","38.4","35.47","35.47","35.47","60.66","60.66","60.66","55.56","55.56","55.56","60.47","60.47","60.47","40.82","40.82","40.82","60.5","60.5","60.5"
"47","55","55","55","55.78","55.78","55.78","38.79","38.79","38.79","41.77","41.77","41.77","59.89","59.89","59.89","55.97","55.97","55.97","59.64","59.64","59.64","43.66","43.66","43.66","61.04","61.04","61.04"
"48","55.94","55.94","55.94","56.62","56.62","56.62","42.95","42.95","42.95","41.78","41.78","41.78","60.68","60.68","60.68","55.84","55.84","55.84","58.2","58.2","58.2","36.44","36.44","36.44","59.84","59.84","59.84"
"49","55.37","55.37","55.37","56.51","56.51","56.51","42.04","42.04","42.04","43.59","43.59","43.59","61.05","61.05","61.05","55.78","55.78","55.78","60.98","60.98","60.98","43.44","43.44","43.44","59.23","59.23","59.23"
"50","56.2","56.2","56.2","56.25","56.25","56.25","42.16","42.16","42.16","44.54","44.54","44.54","61.74","61.74","61.74","56.21","56.21","56.21","59.93","59.93","59.93","42.02","42.02","42.02","60","60","60"
"51","56.23","56.23","56.23","56.15","56.15","56.15","40.91","40.91","40.91","40.77","40.77","40.77","59.97","59.97","59.97","56.42","56.42","56.42","60.37","60.37","60.37","44.01","44.01","44.01","59.78","59.78","59.78"
"52","56.29","56.29","56.29","56.96","56.96","56.96","41.53","41.53","41.53","44.03","44.03","44.03","61.54","61.54","61.54","56.99","56.99","56.99","60.53","60.53","60.53","38.88","38.88","38.88","59.96","59.96","59.96"
"53","56.34","56.34","56.34","57.63","57.63","57.63","40.7","40.7","40.7","42.76","42.76","42.76","60.45","60.45","60.45","56.61","56.61","56.61","61.45","61.45","61.45","41.55","41.55","41.55","60.61","60.61","60.61"
"54","56.95","56.95","56.95","57.56","57.56","57.56","43.09","43.09","43.09","39.15","39.15","39.15","60.47","60.47","60.47","57.01","57.01","57.01","61.45","61.45","61.45","42.59","42.59","42.59","60.31","60.31","60.31"
"55","57.13","57.13","57.13","57.23","57.23","57.23","39.36","39.36","39.36","44.85","44.85","44.85","61.06","61.06","61.06","56.82","56.82","56.82","61.46","61.46","61.46","41.33","41.33","41.33","60.4","60.4","60.4"
"56","56.78","56.78","56.78","57.33","57.33","57.33","43.69","43.69","43.69","43.91","43.91","43.91","61.64","61.64","61.64","56.98","56.98","56.98","61.68","61.68","61.68","40.33","40.33","40.33","58.71","58.71","58.71"
"57","57","57","57","57.6","57.6","57.6","42.37","42.37","42.37","44.2","44.2","44.2","60.35","60.35","60.35","56.55","56.55","56.55","61.03","61.03","61.03","41.75","41.75","41.75","61.42","61.42","61.42"
"58","57.2","57.2","57.2","57.44","57.44","57.44","40.98","40.98","40.98","41.17","41.17","41.17","61.48","61.48","61.48","57.27","57.27","57.27","60.46","60.46","60.46","40.83","40.83","40.83","61.02","61.02","61.02"
"59","57.01","57.01","57.01","57.95","57.95","57.95","43.16","43.16","43.16","39.69","39.69","39.69","61.29","61.29","61.29","57.71","57.71","57.71","61","61","61","42.38","42.38","42.38","61.01","61.01","61.01"
"60","56.41","56.41","56.41","57.51","57.51","57.51","38.98","38.98","38.98","43.45","43.45","43.45","62.81","62.81","62.81","57.33","57.33","57.33","59.67","59.67","59.67","44.74","44.74","44.74","60.86","60.86","60.86"
"61","56.8","56.8","56.8","57.73","57.73","57.73","42.81","42.81","42.81","39.39","39.39","39.39","60.62","60.62","60.62","58.03","58.03","58.03","61.79","61.79","61.79","40.14","40.14","40.14","61.22","61.22","61.22"
"62","56.82","56.82","56.82","58.09","58.09","58.09","39.66","39.66","39.66","43.64","43.64","43.64","62.39","62.39","62.39","57.67","57.67","57.67","59.86","59.86","59.86","41.34","41.34","41.34","61.13","61.13","61.13"
"63","57.07","57.07","57.07","58.08","58.08","58.08","42.35","42.35","42.35","41.74","41.74","41.74","62.09","62.09","62.09","57.82","57.82","57.82","60.52","60.52","60.52","42.1","42.1","42.1","60.58","60.58","60.58"
"64","57.01","57.01","57.01","58","58","58","39.74","39.74","39.74","41.15","41.15","41.15","61.46","61.46","61.46","57.92","57.92","57.92","62","62","62","40.76","40.76","40.76","60.25","60.25","60.25"
"65","57.41","57.41","57.41","58.04","58.04","58.04","41.56","41.56","41.56","41.73","41.73","41.73","62.69","62.69","62.69","58.21","58.21","58.21","61.43","61.43","61.43","42.47","42.47","42.47","60.58","60.58","60.58"
"66","57.17","57.17","57.17","57.34","57.34","57.34","38.51","38.51","38.51","42.54","42.54","42.54","62.6","62.6","62.6","57.93","57.93","57.93","61.7","61.7","61.7","41.74","41.74","41.74","60.51","60.51","60.51"
"67","57.95","57.95","57.95","57.37","57.37","57.37","43.82","43.82","43.82","41.46","41.46","41.46","61.27","61.27","61.27","58.04","58.04","58.04","61.78","61.78","61.78","42.75","42.75","42.75","60.99","60.99","60.99"
"68","57.32","57.32","57.32","58.35","58.35","58.35","41.74","41.74","41.74","42.38","42.38","42.38","62.46","62.46","62.46","58.19","58.19","58.19","62.16","62.16","62.16","42.96","42.96","42.96","61.83","61.83","61.83"
"69","57.85","57.85","57.85","58.11","58.11","58.11","40.57","40.57","40.57","42.88","42.88","42.88","62.42","62.42","62.42","59.09","59.09","59.09","63.69","63.69","63.69","42.31","42.31","42.31","61.2","61.2","61.2"
"70","58.29","58.29","58.29","58.15","58.15","58.15","44.11","44.11","44.11","42.39","42.39","42.39","62.75","62.75","62.75","58.01","58.01","58.01","60.66","60.66","60.66","42.7","42.7","42.7","61.22","61.22","61.22"
"71","57.37","57.37","57.37","58.75","58.75","58.75","41.34","41.34","41.34","43.72","43.72","43.72","61.27","61.27","61.27","57.84","57.84","57.84","60.76","60.76","60.76","42.45","42.45","42.45","61.86","61.86","61.86"
"72","57.88","57.88","57.88","58.43","58.43","58.43","42.59","42.59","42.59","40.64","40.64","40.64","60.41","60.41","60.41","58.37","58.37","58.37","62.14","62.14","62.14","42.74","42.74","42.74","61.42","61.42","61.42"
