"Step","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX"
"73","58.58","58.58","58.58","58.81","58.81","58.81","40.53","40.53","40.53","42.72","42.72","42.72","62.44","62.44","62.44","58.4","58.4","58.4","62.78","62.78","62.78","42.41","42.41","42.41","62.51","62.51","62.51"
"74","58.19","58.19","58.19","59.5","59.5","59.5","43.64","43.64","43.64","44.17","44.17","44.17","62.35","62.35","62.35","58.2","58.2","58.2","62.71","62.71","62.71","42.3","42.3","42.3","62.55","62.55","62.55"
"75","58.37","58.37","58.37","58.98","58.98","58.98","42.53","42.53","42.53","41.91","41.91","41.91","63.73","63.73","63.73","58.83","58.83","58.83","62.08","62.08","62.08","43.12","43.12","43.12","60.96","60.96","60.96"
"76","58.01","58.01","58.01","59.18","59.18","59.18","41.27","41.27","41.27","41.54","41.54","41.54","61.91","61.91","61.91","58.64","58.64","58.64","62.62","62.62","62.62","42.69","42.69","42.69","61.51","61.51","61.51"
"77","58.08","58.08","58.08","58.58","58.58","58.58","41.9","41.9","41.9","39.44","39.44","39.44","63.07","63.07","63.07","58.76","58.76","58.76","62.39","62.39","62.39","40.86","40.86","40.86","61.56","61.56","61.56"
"78","58.6","58.6","58.6","58.42","58.42","58.42","43.08","43.08","43.08","40.93","40.93","40.93","62.73","62.73","62.73","58.51","58.51","58.51","62.66","62.66","62.66","36.62","36.62","36.62","61.48","61.48","61.48"
"79","59.03","59.03","59.03","58.6","58.6","58.6","42.62","42.62","42.62","42.46","42.46","42.46","62.07","62.07","62.07","59.17","59.17","59.17","62.51","62.51","62.51","37.5","37.5","37.5","62.13","62.13","62.13"
"80","57.76","57.76","57.76","58.44","58.44","58.44","43.38","43.38","43.38","40.66","40.66","40.66","60.99","60.99","60.99","58.69","58.69","58.69","62.07","62.07","62.07","41.59","41.59","41.59","62.42","62.42","62.42"
"81","58.58","58.58","58.58","58.35","58.35","58.35","40.93","40.93","40.93","42.65","42.65","42.65","62.28","62.28","62.28","57.84","57.84","57.84","62.13","62.13","62.13","42.34","42.34","42.34","61.34","61.34","61.34"
"82","58.65","58.65","58.65","59.08","59.08","59.08","41.21","41.21","41.21","43.66","43.66","43.66","61.51","61.51","61.51","60.02","60.02","60.02","62.61","62.61","62.61","42.07","42.07","42.07","62.09","62.09","62.09"
"83","58.22","58.22","58.22","59.6","59.6","59.6","42.51","42.51","42.51","41.26","41.26","41.26","62.68","62.68","62.68","59.33","59.33","59.33","62.3","62.3","62.3","41.67","41.67","41.67","62.88","62.88","62.88"
"84","58.25","58.25","58.25","58.9","58.9","58.9","41.45","41.45","41.45","41.39","41.39","41.39","64.65","64.65","64.65","59.17","59.17","59.17","62.11","62.11","62.11","42.01","42.01","42.01","61.52","61.52","61.52"
"85","59.23","59.23","59.23","58.89","58.89","58.89","40.96","40.96","40.96","44.3","44.3","44.3","61.07","61.07","61.07","59.38","59.38","59.38","63.79","63.79","63.79","39.9","39.9","39.9","59.67","59.67","59.67"
"86","58.74","58.74","58.74","59.91","59.91","59.91","40.67","40.67","40.67","37.2","37.2","37.2","62.11","62.11","62.11","58.94","58.94","58.94","62.15","62.15","62.15","42.2","42.2","42.2","62.83","62.83","62.83"
"87","59.11","59.11","59.11","59.39","59.39","59.39","40.21","40.21","40.21","42.14","42.14","42.14","61.13","61.13","61.13","59.56","59.56","59.56","61.83","61.83","61.83","39.55","39.55","39.55","62.3","62.3","62.3"
"88","58.47","58.47","58.47","58.57","58.57","58.57","38.2","38.2","38.2","41.32","41.32","41.32","62.91","62.91","62.91","59.12","59.12","59.12","61.6","61.6","61.6","43.9","43.9","43.9","60.73","60.73","60.73"
"89","59","59","59","59.27","59.27","59.27","40.91","40.91","40.91","41.61","41.61","41.61","63.32","63.32","63.32","59.53","59.53","59.53","62.98","62.98","62.98","42.11","42.11","42.11","63.27","63.27","63.27"
"90","59.16","59.16","59.16","59.53","59.53","59.53","42.87","42.87","42.87","42.2","42.2","42.2","63.27","63.27","63.27","58.51","58.51","58.51","62.02","62.02","62.02","41.21","41.21","41.21","63.2","63.2","63.2"
"91","59.06","59.06","59.06","59.55","59.55","59.55","41.65","41.65","41.65","42.54","42.54","42.54","63.27","63.27","63.27","59.65","59.65","59.65","62.55","62.55","62.55","44.25","44.25","44.25","62.54","62.54","62.54"
"92","58.44","58.44","58.44","59.48","59.48","59.48","42.67","42.67","42.67","39.85","39.85","39.85","63.29","63.29","63.29","59.8","59.8","59.8","61.87","61.87","61.87","41.43","41.43","41.43","62.73","62.73","62.73"
"93","58.52","58.52","58.52","58.59","58.59","58.59","40.46","40.46","40.46","41.38","41.38","41.38","62.85","62.85","62.85","59.8","59.8","59.8","63.72","63.72","63.72","40.4","40.4","40.4","62.12","62.12","62.12"
"94","59.5","59.5","59.5","59.17","59.17","59.17","42.24","42.24","42.24","41.98","41.98","41.98","62.61","62.61","62.61","59.78","59.78","59.78","64.34","64.34","64.34","39.36","39.36","39.36","62.9","62.9","62.9"
"95","58.92","58.92","58.92","59.09","59.09","59.09","37.73","37.73","37.73","40.14","40.14","40.14","63.75","63.75","63.75","59.98","59.98","59.98","63.34","63.34","63.34","40.27","40.27","40.27","62.55","62.55","62.55"
"96","59","59","59","59.56","59.56","59.56","39.61","39.61","39.61","41.14","41.14","41.14","63.4","63.4","63.4","59.78","59.78","59.78","63.59","63.59","63.59","38.64","38.64","38.64","62.37","62.37","62.37"
"97","58.67","58.67","58.67","59.8","59.8","59.8","43.05","43.05","43.05","42.68","42.68","42.68","62.46","62.46","62.46","59.54","59.54","59.54","63.24","63.24","63.24","39","39","39","63.35","63.35","63.35"
"98","59.16","59.16","59.16","59.55","59.55","59.55","38.48","38.48","38.48","36.3","36.3","36.3","63.15","63.15","63.15","60.06","60.06","60.06","63.36","63.36","63.36","44.68","44.68","44.68","62.48","62.48","62.48"
"99","59.17","59.17","59.17","59.68","59.68","59.68","43.33","43.33","43.33","41.75","41.75","41.75","63.48","63.48","63.48","59.26","59.26","59.26","63.12","63.12","63.12","42.32","42.32","42.32","63.07","63.07","63.07"
"100","58.85","58.85","58.85","59.14","59.14","59.14","41.24","41.24","41.24","41.69","41.69","41.69","62.21","62.21","62.21","59.63","59.63","59.63","62.84","62.84","62.84","38.14","38.14","38.14","62.26","62.26","62.26"
"101","59.54","59.54","59.54","59.71","59.71","59.71","40.84","40.84","40.84","39.75","39.75","39.75","63.3","63.3","63.3","59.89","59.89","59.89","62.76","62.76","62.76","42.24","42.24","42.24","62.92","62.92","62.92"
"102","59.32","59.32","59.32","59.94","59.94","59.94","41.19","41.19","41.19","42.19","42.19","42.19","63.39","63.39","63.39","60.32","60.32","60.32","64.06","64.06","64.06","40.98","40.98","40.98","62.4","62.4","62.4"
"103","59.27","59.27","59.27","60.06","60.06","60.06","42","42","42","42.9","42.9","42.9","62.78","62.78","62.78","60.3","60.3","60.3","63.25","63.25","63.25","41.37","41.37","41.37","62.25","62.25","62.25"
"104","59.31","59.31","59.31","59.93","59.93","59.93","39.91","39.91","39.91","41.27","41.27","41.27","62.54","62.54","62.54","60.08","60.08","60.08","62.47","62.47","62.47","42.63","42.63","42.63","63.67","63.67","63.67"
"105","59.76","59.76","59.76","60.32","60.32","60.32","37.87","37.87","37.87","43.11","43.11","43.11","62.89","62.89","62.89","60.66","60.66","60.66","64.39","64.39","64.39","43.65","43.65","43.65","62.4","62.4","62.4"
"106","59.76","59.76","59.76","60.1","60.1","60.1","41.11","41.11","41.11","42.43","42.43","42.43","63.61","63.61","63.61","60.05","60.05","60.05","63.55","63.55","63.55","41.2","41.2","41.2","62.85","62.85","62.85"
"107","59.52","59.52","59.52","59.93","59.93","59.93","42.06","42.06","42.06","40.83","40.83","40.83","63.09","63.09","63.09","60.5","60.5","60.5","63.76","63.76","63.76","37.01","37.01","37.01","63.48","63.48","63.48"
"108","58.71","58.71","58.71","60.05","60.05","60.05","42.49","42.49","42.49","40.6","40.6","40.6","63.19","63.19","63.19","60.24","60.24","60.24","63.59","63.59","63.59","42.58","42.58","42.58","63.64","63.64","63.64"
"109","59.13","59.13","59.13","60.38","60.38","60.38","43.42","43.42","43.42","41.37","41.37","41.37","63.26","63.26","63.26","60.07","60.07","60.07","64.67","64.67","64.67","41.23","41.23","41.23","62.45","62.45","62.45"
"110","59.71","59.71","59.71","59.81","59.81","59.81","41.96","41.96","41.96","37.01","37.01","37.01","63.61","63.61","63.61","60.4","60.4","60.4","63.02","63.02","63.02","43.29","43.29","43.29","63.83","63.83","63.83"
"111","59.2","59.2","59.2","60.61","60.61","60.61","41.73","41.73","41.73","42.75","42.75","42.75","62.15","62.15","62.15","60.52","60.52","60.52","62.42","62.42","62.42","40.92","40.92","40.92","62.36","62.36","62.36"
"112","58.59","58.59","58.59","60.1","60.1","60.1","37.16","37.16","37.16","39.8","39.8","39.8","61.36","61.36","61.36","60.45","60.45","60.45","62.76","62.76","62.76","39.16","39.16","39.16","62.36","62.36","62.36"
"113","59.28","59.28","59.28","60.39","60.39","60.39","42.06","42.06","42.06","42.29","42.29","42.29","62.22","62.22","62.22","59.87","59.87","59.87","62.54","62.54","62.54","39.63","39.63","39.63","62.55","62.55","62.55"
"114","59.62","59.62","59.62","60.19","60.19","60.19","42.51","42.51","42.51","40","40","40","62.61","62.61","62.61","60.05","60.05","60.05","61.94","61.94","61.94","39.58","39.58","39.58","62.78","62.78","62.78"
"115","59.75","59.75","59.75","60.26","60.26","60.26","40.07","40.07","40.07","41.39","41.39","41.39","63.71","63.71","63.71","60.25","60.25","60.25","63.86","63.86","63.86","43.45","43.45","43.45","62.81","62.81","62.81"
"116","58.82","58.82","58.82","59.56","59.56","59.56","42.71","42.71","42.71","41.5","41.5","41.5","62.45","62.45","62.45","60.22","60.22","60.22","63.71","63.71","63.71","40.81","40.81","40.81","63.43","63.43","63.43"
"117","59.78","59.78","59.78","60.28","60.28","60.28","37.52","37.52","37.52","41.44","41.44","41.44","63.68","63.68","63.68","60.07","60.07","60.07","63.85","63.85","63.85","42.48","42.48","42.48","62.26","62.26","62.26"
"118","60.05","60.05","60.05","60.18","60.18","60.18","40.36","40.36","40.36","40.92","40.92","40.92","64.24","64.24","64.24","60.54","60.54","60.54","63.07","63.07","63.07","43.35","43.35","43.35","61.51","61.51","61.51"
"119","59.59","59.59","59.59","60.35","60.35","60.35","39.24","39.24","39.24","36.6","36.6","36.6","62.94","62.94","62.94","60.63","60.63","60.63","62.63","62.63","62.63","41.86","41.86","41.86","63.59","63.59","63.59"
"120","59.78","59.78","59.78","59.79","59.79","59.79","43.29","43.29","43.29","43.61","43.61","43.61","63.63","63.63","63.63","60.16","60.16","60.16","64.08","64.08","64.08","43.07","43.07","43.07","61.61","61.61","61.61"
"121","60.19","60.19","60.19","60.21","60.21","60.21","40.15","40.15","40.15","41.37","41.37","41.37","64.2","64.2","64.2","60.73","60.73","60.73","62.95","62.95","62.95","39.82","39.82","39.82","62.64","62.64","62.64"
"122","60.27","60.27","60.27","60.25","60.25","60.25","41.2","41.2","41.2","43.08","43.08","43.08","63.32","63.32","63.32","60.3","60.3","60.3","64.13","64.13","64.13","41.7","41.7","41.7","61.84","61.84","61.84"
"123","60.11","60.11","60.11","60.03","60.03","60.03","40.6","40.6","40.6","44.34","44.34","44.34","64.02","64.02","64.02","60.47","60.47","60.47","64.18","64.18","64.18","41.93","41.93","41.93","62.04","62.04","62.04"
"124","60.25","60.25","60.25","60.66","60.66","60.66","40.55","40.55","40.55","40.43","40.43","40.43","64.23","64.23","64.23","60.57","60.57","60.57","63.14","63.14","63.14","39.8","39.8","39.8","62.55","62.55","62.55"
"125","60.03","60.03","60.03","60.66","60.66","60.66","40.86","40.86","40.86","41.83","41.83","41.83","64.05","64.05","64.05","60.54","60.54","60.54","63.08","63.08","63.08","41.02","41.02","41.02","61.88","61.88","61.88"
"126","59.97","59.97","59.97","60.71","60.71","60.71","39.59","39.59","39.59","37.51","37.51","37.51","63.52","63.52","63.52","60.84","60.84","60.84","61.75","61.75","61.75","41.41","41.41","41.41","62.15","62.15","62.15"
"127","60.38","60.38","60.38","60.35","60.35","60.35","43.15","43.15","43.15","41.4","41.4","41.4","63.67","63.67","63.67","60.43","60.43","60.43","63.22","63.22","63.22","43.36","43.36","43.36","61.44","61.44","61.44"
"128","60.28","60.28","60.28","60.57","60.57","60.57","40.57","40.57","40.57","40.46","40.46","40.46","64.32","64.32","64.32","60.75","60.75","60.75","64.06","64.06","64.06","41.07","41.07","41.07","61.52","61.52","61.52"
"129","59.82","59.82","59.82","60.24","60.24","60.24","41.07","41.07","41.07","40.43","40.43","40.43","64.43","64.43","64.43","60.55","60.55","60.55","63.61","63.61","63.61","44.09","44.09","44.09","63.49","63.49","63.49"
"130","59.77","59.77","59.77","60.8","60.8","60.8","39.18","39.18","39.18","42.77","42.77","42.77","63.29","63.29","63.29","60.66","60.66","60.66","62.8","62.8","62.8","40.17","40.17","40.17","63.3","63.3","63.3"
"131","60.11","60.11","60.11","60.54","60.54","60.54","41.01","41.01","41.01","43","43","43","63.18","63.18","63.18","60.47","60.47","60.47","62.72","62.72","62.72","42.58","42.58","42.58","63.4","63.4","63.4"
"132","60.51","60.51","60.51","60.52","60.52","60.52","38.03","38.03","38.03","44.32","44.32","44.32","63.22","63.22","63.22","61.06","61.06","61.06","63.67","63.67","63.67","42.55","42.55","42.55","63.52","63.52","63.52"
"133","59.97","59.97","59.97","60.58","60.58","60.58","42.14","42.14","42.14","40.1","40.1","40.1","62.72","62.72","62.72","60.97","60.97","60.97","64.18","64.18","64.18","41.92","41.92","41.92","62.79","62.79","62.79"
"134","60.63","60.63","60.63","60.92","60.92","60.92","41.61","41.61","41.61","42.69","42.69","42.69","63.72","63.72","63.72","60.27","60.27","60.27","63.86","63.86","63.86","36.55","36.55","36.55","63.58","63.58","63.58"
"135","60.24","60.24","60.24","60.62","60.62","60.62","40.21","40.21","40.21","42.01","42.01","42.01","62.99","62.99","62.99","61.13","61.13","61.13","64.37","64.37","64.37","43.25","43.25","43.25","62.85","62.85","62.85"
"136","60.57","60.57","60.57","60.39","60.39","60.39","40.74","40.74","40.74","43.07","43.07","43.07","63.72","63.72","63.72","60.65","60.65","60.65","62.59","62.59","62.59","39.22","39.22","39.22","63.35","63.35","63.35"
"137","60.24","60.24","60.24","60.91","60.91","60.91","42.65","42.65","42.65","41.42","41.42","41.42","63.66","63.66","63.66","60.35","60.35","60.35","64.03","64.03","64.03","41.59","41.59","41.59","62.15","62.15","62.15"
"138","60.45","60.45","60.45","60.67","60.67","60.67","40.5","40.5","40.5","41.72","41.72","41.72","63.04","63.04","63.04","60.71","60.71","60.71","64.69","64.69","64.69","40.66","40.66","40.66","63.23","63.23","63.23"
"139","60.28","60.28","60.28","61.33","61.33","61.33","43.15","43.15","43.15","42.04","42.04","42.04","64.37","64.37","64.37","61.27","61.27","61.27","64.53","64.53","64.53","45.11","45.11","45.11","63.76","63.76","63.76"
"140","60.08","60.08","60.08","60.85","60.85","60.85","41.68","41.68","41.68","42.01","42.01","42.01","63.37","63.37","63.37","60.94","60.94","60.94","64.07","64.07","64.07","41.57","41.57","41.57","63.59","63.59","63.59"
"141","60.63","60.63","60.63","60.7","60.7","60.7","42.2","42.2","42.2","41.59","41.59","41.59","63.04","63.04","63.04","60.99","60.99","60.99","63.93","63.93","63.93","39.88","39.88","39.88","63.76","63.76","63.76"
"142","60.87","60.87","60.87","60.1","60.1","60.1","38.78","38.78","38.78","38.46","38.46","38.46","63.46","63.46","63.46","60.96","60.96","60.96","63.75","63.75","63.75","41.16","41.16","41.16","64.37","64.37","64.37"
"143","60.62","60.62","60.62","61.12","61.12","61.12","39.4","39.4","39.4","39.82","39.82","39.82","63.68","63.68","63.68","60.69","60.69","60.69","63.92","63.92","63.92","39.46","39.46","39.46","63.03","63.03","63.03"
"144","60.7","60.7","60.7","61.27","61.27","61.27","41.69","41.69","41.69","40.63","40.63","40.63","62.94","62.94","62.94","61.29","61.29","61.29","62.74","62.74","62.74","41.79","41.79","41.79","63.04","63.04","63.04"
"145","60.81","60.81","60.81","60.99","60.99","60.99","33.23","33.23","33.23","40.16","40.16","40.16","62.23","62.23","62.23","61.26","61.26","61.26","64.34","64.34","64.34","43.29","43.29","43.29","62.07","62.07","62.07"
"146","60.58","60.58","60.58","60.53","60.53","60.53","42.18","42.18","42.18","42.88","42.88","42.88","63.52","63.52","63.52","60.89","60.89","60.89","63.8","63.8","63.8","39.49","39.49","39.49","63.55","63.55","63.55"
"147","60.28","60.28","60.28","60.58","60.58","60.58","44.4","44.4","44.4","40.47","40.47","40.47","61.46","61.46","61.46","60.66","60.66","60.66","62.19","62.19","62.19","42.99","42.99","42.99","63.57","63.57","63.57"
"148","60.48","60.48","60.48","61.26","61.26","61.26","42.39","42.39","42.39","45.32","45.32","45.32","64.57","64.57","64.57","61.01","61.01","61.01","62.99","62.99","62.99","42.77","42.77","42.77","63.31","63.31","63.31"
"149","60.58","60.58","60.58","61.63","61.63","61.63","40.57","40.57","40.57","43.54","43.54","43.54","63.59","63.59","63.59","61.12","61.12","61.12","62.2","62.2","62.2","41.41","41.41","41.41","63.68","63.68","63.68"
"150","61.63","61.63","61.63","62.3","62.3","62.3","57","57","57","57.67","57.67","57.67","70.64","70.64","70.64","62.37","62.37","62.37","70.56","70.56","70.56","56.82","56.82","56.82","69.69","69.69","69.69"
"151","61.81","61.81","61.81","62.37","62.37","62.37","57.82","57.82","57.82","58.51","58.51","58.51","71.18","71.18","71.18","62.21","62.21","62.21","71","71","71","57.58","57.58","57.58","70.29","70.29","70.29"
"152","61.87","61.87","61.87","62.54","62.54","62.54","58.73","58.73","58.73","58.87","58.87","58.87","71.23","71.23","71.23","62.74","62.74","62.74","71.11","71.11","71.11","58.75","58.75","58.75","70.49","70.49","70.49"
"153","61.94","61.94","61.94","62.66","62.66","62.66","59.36","59.36","59.36","59.23","59.23","59.23","71.59","71.59","71.59","62.69","62.69","62.69","71.4","71.4","71.4","58.84","58.84","58.84","70.63","70.63","70.63"
"154","62.09","62.09","62.09","62.99","62.99","62.99","59.48","59.48","59.48","59.4","59.4","59.4","72","72","72","62.4","62.4","62.4","70.88","70.88","70.88","59.84","59.84","59.84","70.77","70.77","70.77"
"155","61.98","61.98","61.98","63.06","63.06","63.06","59.49","59.49","59.49","59.83","59.83","59.83","72.22","72.22","72.22","62.45","62.45","62.45","71.41","71.41","71.41","60.32","60.32","60.32","71.32","71.32","71.32"
