"Step","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","use_labels: False; LR: 0.001; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 2; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.001; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 1; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.05; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MIN","LR: 0.01; Trial: 0; Student: MobileNetV2_1_0; Teacher: resnet32x4 - test_acc__MAX"
"156","61.95","61.95","61.95","62.8","62.8","62.8","59.25","59.25","59.25","60.03","60.03","60.03","72.07","72.07","72.07","62.56","62.56","62.56","71.57","71.57","71.57","59.78","59.78","59.78","70.9","70.9","70.9"
"157","61.93","61.93","61.93","63","63","63","59.31","59.31","59.31","60.02","60.02","60.02","72.13","72.13","72.13","62.79","62.79","62.79","71.76","71.76","71.76","59.86","59.86","59.86","71.02","71.02","71.02"
"158","62.15","62.15","62.15","63.05","63.05","63.05","59.5","59.5","59.5","59.68","59.68","59.68","71.81","71.81","71.81","62.72","62.72","62.72","71.88","71.88","71.88","60.18","60.18","60.18","71.09","71.09","71.09"
"159","62.06","62.06","62.06","62.95","62.95","62.95","59.95","59.95","59.95","60.63","60.63","60.63","72.03","72.03","72.03","62.73","62.73","62.73","71.74","71.74","71.74","60.45","60.45","60.45","71.35","71.35","71.35"
"160","61.91","61.91","61.91","63.11","63.11","63.11","60.32","60.32","60.32","60.12","60.12","60.12","71.74","71.74","71.74","62.76","62.76","62.76","71.89","71.89","71.89","60.62","60.62","60.62","71","71","71"
"161","62.03","62.03","62.03","63.06","63.06","63.06","60.1","60.1","60.1","60.03","60.03","60.03","71.87","71.87","71.87","62.56","62.56","62.56","71.68","71.68","71.68","60.5","60.5","60.5","71.58","71.58","71.58"
"162","62","62","62","63","63","63","60.02","60.02","60.02","59.71","59.71","59.71","71.86","71.86","71.86","63.17","63.17","63.17","71.83","71.83","71.83","60.71","60.71","60.71","71.13","71.13","71.13"
"163","61.72","61.72","61.72","62.97","62.97","62.97","59.96","59.96","59.96","60.68","60.68","60.68","72.22","72.22","72.22","62.95","62.95","62.95","71.88","71.88","71.88","60.22","60.22","60.22","71.23","71.23","71.23"
"164","62.21","62.21","62.21","63.05","63.05","63.05","59.84","59.84","59.84","59.97","59.97","59.97","71.94","71.94","71.94","63.19","63.19","63.19","71.69","71.69","71.69","60.13","60.13","60.13","71.31","71.31","71.31"
"165","62.12","62.12","62.12","63.08","63.08","63.08","59.8","59.8","59.8","60.6","60.6","60.6","72.06","72.06","72.06","62.98","62.98","62.98","72.24","72.24","72.24","60.84","60.84","60.84","71.29","71.29","71.29"
"166","61.82","61.82","61.82","63.24","63.24","63.24","59.88","59.88","59.88","60.51","60.51","60.51","71.73","71.73","71.73","63.01","63.01","63.01","72.18","72.18","72.18","60.83","60.83","60.83","71.05","71.05","71.05"
"167","61.91","61.91","61.91","63.07","63.07","63.07","59.3","59.3","59.3","60.51","60.51","60.51","72.24","72.24","72.24","62.84","62.84","62.84","71.94","71.94","71.94","60.3","60.3","60.3","71.05","71.05","71.05"
"168","61.86","61.86","61.86","62.91","62.91","62.91","60.14","60.14","60.14","60.39","60.39","60.39","72.04","72.04","72.04","62.94","62.94","62.94","72.24","72.24","72.24","60.43","60.43","60.43","70.93","70.93","70.93"
"169","62.22","62.22","62.22","63.35","63.35","63.35","59.59","59.59","59.59","60.36","60.36","60.36","72.16","72.16","72.16","63","63","63","72.14","72.14","72.14","60.29","60.29","60.29","70.8","70.8","70.8"
"170","62.08","62.08","62.08","63.4","63.4","63.4","59.44","59.44","59.44","60.79","60.79","60.79","72.36","72.36","72.36","63.13","63.13","63.13","71.84","71.84","71.84","60.46","60.46","60.46","71.21","71.21","71.21"
"171","61.8","61.8","61.8","63.15","63.15","63.15","59.39","59.39","59.39","60.38","60.38","60.38","71.73","71.73","71.73","63.05","63.05","63.05","71.7","71.7","71.7","60.37","60.37","60.37","71.23","71.23","71.23"
"172","61.93","61.93","61.93","62.96","62.96","62.96","59.88","59.88","59.88","60.12","60.12","60.12","71.78","71.78","71.78","63.02","63.02","63.02","72.23","72.23","72.23","60.63","60.63","60.63","71.25","71.25","71.25"
"173","62.13","62.13","62.13","63.16","63.16","63.16","60.64","60.64","60.64","60.23","60.23","60.23","71.72","71.72","71.72","62.84","62.84","62.84","72.05","72.05","72.05","60.28","60.28","60.28","71.33","71.33","71.33"
"174","61.78","61.78","61.78","63.15","63.15","63.15","59.75","59.75","59.75","59.83","59.83","59.83","71.76","71.76","71.76","62.81","62.81","62.81","71.94","71.94","71.94","60.08","60.08","60.08","71.21","71.21","71.21"
"175","61.86","61.86","61.86","63.3","63.3","63.3","59.44","59.44","59.44","60.19","60.19","60.19","71.77","71.77","71.77","62.64","62.64","62.64","71.7","71.7","71.7","60.16","60.16","60.16","71.04","71.04","71.04"
"176","61.88","61.88","61.88","63.05","63.05","63.05","59.05","59.05","59.05","59.23","59.23","59.23","71.82","71.82","71.82","63.29","63.29","63.29","71.56","71.56","71.56","60.36","60.36","60.36","71.11","71.11","71.11"
"177","62.04","62.04","62.04","62.96","62.96","62.96","59.23","59.23","59.23","59.94","59.94","59.94","72.08","72.08","72.08","63.17","63.17","63.17","72.18","72.18","72.18","60.38","60.38","60.38","71.03","71.03","71.03"
"178","62.32","62.32","62.32","63.22","63.22","63.22","60.41","60.41","60.41","59.66","59.66","59.66","72.08","72.08","72.08","63.2","63.2","63.2","71.97","71.97","71.97","61.09","61.09","61.09","71.25","71.25","71.25"
"179","62.36","62.36","62.36","63.09","63.09","63.09","60.32","60.32","60.32","60.56","60.56","60.56","72.04","72.04","72.04","62.96","62.96","62.96","71.92","71.92","71.92","60.81","60.81","60.81","71.36","71.36","71.36"
"180","62.08","62.08","62.08","63.29","63.29","63.29","62.99","62.99","62.99","63.38","63.38","63.38","72.35","72.35","72.35","63.05","63.05","63.05","72.25","72.25","72.25","63.12","63.12","63.12","71.58","71.58","71.58"
"181","62.06","62.06","62.06","63.16","63.16","63.16","62.89","62.89","62.89","63.95","63.95","63.95","72.13","72.13","72.13","62.83","62.83","62.83","72.13","72.13","72.13","63.47","63.47","63.47","71.62","71.62","71.62"
"182","62.17","62.17","62.17","63.46","63.46","63.46","63.44","63.44","63.44","64.08","64.08","64.08","72.28","72.28","72.28","62.85","62.85","62.85","72.1","72.1","72.1","63.55","63.55","63.55","71.57","71.57","71.57"
"183","62.19","62.19","62.19","63.29","63.29","63.29","63.26","63.26","63.26","63.86","63.86","63.86","72.46","72.46","72.46","63.01","63.01","63.01","72.14","72.14","72.14","63.84","63.84","63.84","71.53","71.53","71.53"
"184","62.16","62.16","62.16","63.05","63.05","63.05","63.54","63.54","63.54","64","64","64","72.18","72.18","72.18","63.15","63.15","63.15","72.55","72.55","72.55","63.93","63.93","63.93","71.54","71.54","71.54"
"185","62.07","62.07","62.07","62.97","62.97","62.97","63.4","63.4","63.4","63.92","63.92","63.92","72.12","72.12","72.12","63.14","63.14","63.14","72.53","72.53","72.53","63.85","63.85","63.85","71.44","71.44","71.44"
"186","62.09","62.09","62.09","63.14","63.14","63.14","63.16","63.16","63.16","63.94","63.94","63.94","72.23","72.23","72.23","63.28","63.28","63.28","72.43","72.43","72.43","63.7","63.7","63.7","71.39","71.39","71.39"
"187","62.22","62.22","62.22","62.85","62.85","62.85","63.3","63.3","63.3","63.95","63.95","63.95","72.2","72.2","72.2","63.02","63.02","63.02","72.44","72.44","72.44","63.52","63.52","63.52","71.64","71.64","71.64"
"188","61.82","61.82","61.82","63.28","63.28","63.28","63.7","63.7","63.7","63.95","63.95","63.95","72.31","72.31","72.31","63.2","63.2","63.2","72.79","72.79","72.79","64.02","64.02","64.02","71.5","71.5","71.5"
"189","62.2","62.2","62.2","63.16","63.16","63.16","63.16","63.16","63.16","63.98","63.98","63.98","72.05","72.05","72.05","63.04","63.04","63.04","72.36","72.36","72.36","63.92","63.92","63.92","71.62","71.62","71.62"
"190","62.06","62.06","62.06","63.35","63.35","63.35","63.43","63.43","63.43","64.17","64.17","64.17","72.29","72.29","72.29","63.1","63.1","63.1","72.48","72.48","72.48","64.59","64.59","64.59","71.28","71.28","71.28"
"191","62.25","62.25","62.25","62.99","62.99","62.99","63.76","63.76","63.76","64.44","64.44","64.44","72.37","72.37","72.37","63.21","63.21","63.21","72.48","72.48","72.48","63.67","63.67","63.67","71.46","71.46","71.46"
"192","62.16","62.16","62.16","63.15","63.15","63.15","63.72","63.72","63.72","64.12","64.12","64.12","72.03","72.03","72.03","63.15","63.15","63.15","72.51","72.51","72.51","64.21","64.21","64.21","71.46","71.46","71.46"
"193","62.29","62.29","62.29","63.27","63.27","63.27","63.66","63.66","63.66","64.21","64.21","64.21","72.64","72.64","72.64","63.09","63.09","63.09","72.42","72.42","72.42","64.13","64.13","64.13","71.5","71.5","71.5"
"194","62.1","62.1","62.1","62.98","62.98","62.98","63.41","63.41","63.41","64.03","64.03","64.03","72.57","72.57","72.57","63.11","63.11","63.11","72.6","72.6","72.6","64.09","64.09","64.09","71.57","71.57","71.57"
"195","62.3","62.3","62.3","63.07","63.07","63.07","63.67","63.67","63.67","64.19","64.19","64.19","72.28","72.28","72.28","63.08","63.08","63.08","72.36","72.36","72.36","64.26","64.26","64.26","71.3","71.3","71.3"
"196","62.37","62.37","62.37","63.28","63.28","63.28","63.97","63.97","63.97","64.45","64.45","64.45","72.24","72.24","72.24","62.89","62.89","62.89","72.52","72.52","72.52","64.27","64.27","64.27","71.49","71.49","71.49"
"197","62.19","62.19","62.19","63.33","63.33","63.33","63.77","63.77","63.77","64.21","64.21","64.21","72.47","72.47","72.47","63.02","63.02","63.02","72.53","72.53","72.53","64.22","64.22","64.22","71.45","71.45","71.45"
"198","62.01","62.01","62.01","62.97","62.97","62.97","63.71","63.71","63.71","64.02","64.02","64.02","72.45","72.45","72.45","63.18","63.18","63.18","72.49","72.49","72.49","64.28","64.28","64.28","71.29","71.29","71.29"
"199","62.21","62.21","62.21","63.06","63.06","63.06","63.54","63.54","63.54","64.28","64.28","64.28","72.32","72.32","72.32","63.18","63.18","63.18","72.55","72.55","72.55","63.95","63.95","63.95","71.54","71.54","71.54"
"200","62.12","62.12","62.12","62.96","62.96","62.96","63.86","63.86","63.86","63.89","63.89","63.89","72.35","72.35","72.35","63.04","63.04","63.04","72.53","72.53","72.53","64.48","64.48","64.48","71.75","71.75","71.75"
"201","62.47","62.47","62.47","63.22","63.22","63.22","63.73","63.73","63.73","64.26","64.26","64.26","72.28","72.28","72.28","62.93","62.93","62.93","72.57","72.57","72.57","64.29","64.29","64.29","71.77","71.77","71.77"
"202","62.11","62.11","62.11","63.19","63.19","63.19","63.51","63.51","63.51","64.29","64.29","64.29","72.45","72.45","72.45","63.11","63.11","63.11","72.51","72.51","72.51","64.17","64.17","64.17","71.5","71.5","71.5"
"203","62.34","62.34","62.34","63.15","63.15","63.15","63.84","63.84","63.84","64.52","64.52","64.52","72.15","72.15","72.15","63.32","63.32","63.32","72.61","72.61","72.61","64.25","64.25","64.25","71.66","71.66","71.66"
"204","62.19","62.19","62.19","63.21","63.21","63.21","63.74","63.74","63.74","64.4","64.4","64.4","72.41","72.41","72.41","63.17","63.17","63.17","72.46","72.46","72.46","64.2","64.2","64.2","71.75","71.75","71.75"
"205","62.31","62.31","62.31","63.16","63.16","63.16","63.75","63.75","63.75","63.89","63.89","63.89","72.34","72.34","72.34","63.12","63.12","63.12","72.5","72.5","72.5","64.28","64.28","64.28","71.79","71.79","71.79"
"206","62.35","62.35","62.35","63.08","63.08","63.08","63.79","63.79","63.79","63.83","63.83","63.83","71.9","71.9","71.9","63.04","63.04","63.04","72.76","72.76","72.76","63.9","63.9","63.9","71.44","71.44","71.44"
"207","61.85","61.85","61.85","62.97","62.97","62.97","63.92","63.92","63.92","64.09","64.09","64.09","72.35","72.35","72.35","63.29","63.29","63.29","72.77","72.77","72.77","64.32","64.32","64.32","71.52","71.52","71.52"
"208","62.2","62.2","62.2","63.41","63.41","63.41","63.64","63.64","63.64","63.99","63.99","63.99","72.21","72.21","72.21","63.11","63.11","63.11","72.55","72.55","72.55","64.31","64.31","64.31","71.64","71.64","71.64"
"209","62.46","62.46","62.46","63.32","63.32","63.32","63.72","63.72","63.72","63.92","63.92","63.92","72.4","72.4","72.4","63.23","63.23","63.23","72.54","72.54","72.54","64.27","64.27","64.27","71.41","71.41","71.41"
"210","62.18","62.18","62.18","63.07","63.07","63.07","63.83","63.83","63.83","64.35","64.35","64.35","72.27","72.27","72.27","62.91","62.91","62.91","72.46","72.46","72.46","64.56","64.56","64.56","71.5","71.5","71.5"
"211","62.12","62.12","62.12","63.16","63.16","63.16","63.65","63.65","63.65","64.76","64.76","64.76","72.42","72.42","72.42","63.05","63.05","63.05","72.94","72.94","72.94","64.41","64.41","64.41","71.41","71.41","71.41"
"212","62.16","62.16","62.16","63.09","63.09","63.09","63.77","63.77","63.77","64.49","64.49","64.49","72.33","72.33","72.33","63.32","63.32","63.32","72.54","72.54","72.54","64.5","64.5","64.5","71.7","71.7","71.7"
"213","62.11","62.11","62.11","63.36","63.36","63.36","64.03","64.03","64.03","64.68","64.68","64.68","72.43","72.43","72.43","63.13","63.13","63.13","72.64","72.64","72.64","64.65","64.65","64.65","71.63","71.63","71.63"
"214","62.25","62.25","62.25","63.46","63.46","63.46","63.8","63.8","63.8","64.71","64.71","64.71","72.39","72.39","72.39","63.2","63.2","63.2","72.54","72.54","72.54","64.6","64.6","64.6","71.36","71.36","71.36"
"215","62.19","62.19","62.19","63.38","63.38","63.38","63.77","63.77","63.77","64.32","64.32","64.32","72.19","72.19","72.19","62.74","62.74","62.74","72.81","72.81","72.81","64.6","64.6","64.6","71.55","71.55","71.55"
"216","62.33","62.33","62.33","63.31","63.31","63.31","64.11","64.11","64.11","64.51","64.51","64.51","72.2","72.2","72.2","63.13","63.13","63.13","72.59","72.59","72.59","64.74","64.74","64.74","71.48","71.48","71.48"
"217","62.27","62.27","62.27","63.02","63.02","63.02","63.88","63.88","63.88","64.58","64.58","64.58","72.14","72.14","72.14","63.23","63.23","63.23","72.76","72.76","72.76","64.63","64.63","64.63","71.5","71.5","71.5"
"218","62.46","62.46","62.46","63.3","63.3","63.3","63.82","63.82","63.82","64.52","64.52","64.52","72","72","72","63.07","63.07","63.07","72.92","72.92","72.92","64.58","64.58","64.58","71.44","71.44","71.44"
"219","62.29","62.29","62.29","63.19","63.19","63.19","63.8","63.8","63.8","64.58","64.58","64.58","72.06","72.06","72.06","63.15","63.15","63.15","72.64","72.64","72.64","64.58","64.58","64.58","71.4","71.4","71.4"
"220","62.1","62.1","62.1","63.18","63.18","63.18","64","64","64","64.62","64.62","64.62","72.29","72.29","72.29","63.14","63.14","63.14","72.77","72.77","72.77","64.66","64.66","64.66","71.37","71.37","71.37"
"221","62.14","62.14","62.14","63.13","63.13","63.13","63.92","63.92","63.92","64.28","64.28","64.28","72.32","72.32","72.32","63.15","63.15","63.15","72.57","72.57","72.57","64.58","64.58","64.58","71.49","71.49","71.49"
"222","62.18","62.18","62.18","63.38","63.38","63.38","63.87","63.87","63.87","64.86","64.86","64.86","72.44","72.44","72.44","62.83","62.83","62.83","72.66","72.66","72.66","64.58","64.58","64.58","71.61","71.61","71.61"
"223","62.13","62.13","62.13","63.04","63.04","63.04","63.94","63.94","63.94","64.76","64.76","64.76","72.3","72.3","72.3","63.06","63.06","63.06","72.73","72.73","72.73","64.62","64.62","64.62","71.41","71.41","71.41"
"224","62.34","62.34","62.34","63.04","63.04","63.04","63.96","63.96","63.96","64.69","64.69","64.69","72.38","72.38","72.38","63.22","63.22","63.22","72.78","72.78","72.78","64.6","64.6","64.6","71.5","71.5","71.5"
"225","62.25","62.25","62.25","63.17","63.17","63.17","63.97","63.97","63.97","64.72","64.72","64.72","72.32","72.32","72.32","62.7","62.7","62.7","72.32","72.32","72.32","64.65","64.65","64.65","71.44","71.44","71.44"
"226","62.19","62.19","62.19","62.95","62.95","62.95","63.99","63.99","63.99","64.64","64.64","64.64","72.24","72.24","72.24","63.09","63.09","63.09","72.62","72.62","72.62","64.47","64.47","64.47","71.44","71.44","71.44"
"227","62.21","62.21","62.21","63.27","63.27","63.27","63.9","63.9","63.9","64.51","64.51","64.51","72.27","72.27","72.27","63.1","63.1","63.1","72.58","72.58","72.58","64.82","64.82","64.82","71.56","71.56","71.56"
"228","62.11","62.11","62.11","63.32","63.32","63.32","63.77","63.77","63.77","64.39","64.39","64.39","72.33","72.33","72.33","63.06","63.06","63.06","72.73","72.73","72.73","64.61","64.61","64.61","71.48","71.48","71.48"
"229","62.06","62.06","62.06","63.58","63.58","63.58","63.89","63.89","63.89","64.75","64.75","64.75","72.1","72.1","72.1","62.98","62.98","62.98","72.88","72.88","72.88","64.79","64.79","64.79","71.42","71.42","71.42"
"230","62.62","62.62","62.62","63.07","63.07","63.07","63.83","63.83","63.83","64.59","64.59","64.59","72.2","72.2","72.2","63.13","63.13","63.13","72.53","72.53","72.53","64.79","64.79","64.79","71.24","71.24","71.24"
"231","62.25","62.25","62.25","62.94","62.94","62.94","63.91","63.91","63.91","64.51","64.51","64.51","72.22","72.22","72.22","63.05","63.05","63.05","72.7","72.7","72.7","64.58","64.58","64.58","71.63","71.63","71.63"
"232","62.41","62.41","62.41","63.25","63.25","63.25","63.99","63.99","63.99","64.54","64.54","64.54","72.47","72.47","72.47","63.08","63.08","63.08","72.48","72.48","72.48","64.69","64.69","64.69","71.45","71.45","71.45"
"233","62.23","62.23","62.23","63.11","63.11","63.11","63.85","63.85","63.85","64.7","64.7","64.7","72.48","72.48","72.48","63.07","63.07","63.07","72.63","72.63","72.63","64.57","64.57","64.57","71.61","71.61","71.61"
"234","62.4","62.4","62.4","63.24","63.24","63.24","63.83","63.83","63.83","64.64","64.64","64.64","72.27","72.27","72.27","62.82","62.82","62.82","72.88","72.88","72.88","64.7","64.7","64.7","71.61","71.61","71.61"
"235","62.21","62.21","62.21","63.27","63.27","63.27","64.15","64.15","64.15","64.56","64.56","64.56","72.28","72.28","72.28","63.14","63.14","63.14","72.45","72.45","72.45","64.65","64.65","64.65","71.77","71.77","71.77"
"236","62.17","62.17","62.17","63.26","63.26","63.26","64.18","64.18","64.18","64.57","64.57","64.57","72.34","72.34","72.34","62.99","62.99","62.99","72.51","72.51","72.51","64.64","64.64","64.64","71.47","71.47","71.47"
"237","62.35","62.35","62.35","63.43","63.43","63.43","63.83","63.83","63.83","64.63","64.63","64.63","72.5","72.5","72.5","63.22","63.22","63.22","72.81","72.81","72.81","64.64","64.64","64.64","71.61","71.61","71.61"
"238","62.45","62.45","62.45","63.35","63.35","63.35","63.84","63.84","63.84","64.92","64.92","64.92","72.3","72.3","72.3","62.99","62.99","62.99","72.65","72.65","72.65","64.7","64.7","64.7","71.53","71.53","71.53"
"239","62.38","62.38","62.38","63.35","63.35","63.35","64.12","64.12","64.12","64.57","64.57","64.57","72.41","72.41","72.41","63.07","63.07","63.07","72.69","72.69","72.69","64.7","64.7","64.7","71.55","71.55","71.55"